0,1,2,3,4,5
-4.7193913,-1.3902385,1.1865454,-0.83648336,-1.3030044,-1.2237686
-4.894975,-1.6847315,0.8810325,-1.1604466,-0.6005901,-3.5208476
0.39552402,0.08992833,-1.5774546,-2.5682626,0.9798964,1.3118447
-0.47078532,-2.236232,-2.6607327,-3.5703802,-3.4409392,0.09209152
-1.4194154,0.9943253,4.6640077,1.7484404,0.9355229,0.47633374
-2.1779485,-2.112638,2.0549793,-0.11151408,0.3925127,1.1909295
-0.51883674,-2.7647722,-1.6946546,-2.3109913,0.73202085,3.530085
0.3814084,-0.4406601,1.4305307,0.31992304,-4.831914,-2.8886836
-1.6844505,-0.6923467,0.026596889,0.65678144,1.1120225,0.9088368
-4.374244,-2.1617582,0.40963322,-0.9101387,0.41432872,-1.4421136
-2.614128,-0.680045,-1.1632178,-0.66786426,-1.2422997,-0.5680931
2.634977,-2.9495077,1.4357777,-3.1652908,1.0063812,-3.53637
-0.736424,-1.2634555,-0.94208,-2.5016775,2.0669963,2.2078512
-1.2268898,0.76164794,1.0297323,-0.810382,0.3240709,-1.5729891
-3.3020449,-1.2454348,0.9849647,1.268615,-0.15688527,0.6479945
2.6294012,-1.2049179,-2.3781567,-6.495914,-2.119738,2.5112853
-0.7785954,-0.04636904,-1.3803914,0.000118508935,0.08573723,0.983719
-4.122993,-0.9540905,-0.16118957,-1.0990307,-0.48282695,-2.1963344
-2.7157917,-1.3148919,-0.20557183,0.55294085,0.21109557,-1.8326745
-2.1617723,1.4572988,-2.4863484,1.06087,-0.74977887,-1.7255248
-2.9206016,-1.276398,-0.96830773,-1.4306817,0.3621213,1.1197262
0.05690205,-1.4576463,-0.70878434,-3.1891441,-2.4516494,1.4421139
-4.553246,-1.874603,1.7946444,-0.75246954,-1.2915161,-1.9288074
-3.6138282,-0.9714041,0.8888063,0.8555243,0.74618423,0.5515657
-1.4049577,-0.14620276,0.79129374,0.05130504,1.0948097,1.5153422
-2.866893,-1.5354537,-0.12688966,-0.5597689,-0.3761577,-0.45618442
-1.461248,0.36317185,2.1447139,-0.12333687,1.5253274,1.8354095
-2.80932,-0.46605948,-0.7793784,1.8769332,0.80178964,-2.0264266
-4.014671,-1.9095328,1.1619269,-0.6436357,-0.0016568005,-0.4662964
-0.56864977,-0.6402799,-5.543971,-5.1887383,1.8927568,1.6337112
-1.3623286,-0.737278,0.22589697,0.92933583,-0.86389136,0.4222671
2.533525,2.947281,-0.11472912,-2.8218467,-1.9764446,-0.8526894
-2.9000478,-1.8667426,0.09922984,-1.138887,0.93734944,-1.1584623
0.14273854,0.3236883,-7.6836257,-5.526554,7.315453,5.5739546
-2.8391225,-1.19885,0.37285072,-0.39795202,1.1079082,-0.76404274
-2.5075855,-1.589987,3.6856627,2.4566562,1.3150727,1.4394214
1.309269,-1.1059489,-1.3652471,-0.60694665,-2.7456934,0.47444573
-0.9820978,0.10743986,-1.7747525,-1.1190878,-2.6771321,0.16564056
-0.28919357,-0.5659342,2.681276,2.6104844,0.5364156,0.85538614
